,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('expuesto', 'susceptible', 'trabajo', False)",58,60,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,60,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,60,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,61,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,61,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,61,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,62,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,62,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,62,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,63,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,63,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,63,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,64,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,64,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,64,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,65,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,65,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,65,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,66,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,66,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,66,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,67,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,67,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,67,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,68,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,68,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,68,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,69,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,69,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,69,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,70,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,70,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,70,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,71,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,71,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,71,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,72,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,72,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,72,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,73,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,73,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,73,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,74,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,74,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,74,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,75,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,75,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,75,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,76,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,76,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,76,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,77,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,77,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,77,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,78,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,78,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,78,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,79,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,79,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,79,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,80,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,80,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,80,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,81,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,81,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,81,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,82,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,82,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,82,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,83,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,83,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,83,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,84,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,84,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,84,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,85,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,85,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,85,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,86,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,86,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,86,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,87,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,87,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,87,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,88,0,expuesto,susceptible,trabajo,False
