,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
30,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,9,9,9,10,10,10,10,10,11,12,13,13,15,16,16,16,18,19,21,21,22,24,25,25,26,29,30,30,31,33,34,35,35,35,37,38,40,41,42,43,45,45,46,48,49,50,51,53,54,55,56,57,58,60,61,62,63,65,66,67,69,70,70,70,70,70,71,72,74,74,76,76,76,76,77,78,78,78,79,80,80,80,82,83,83,83,84,84,84,84,86,87,87,88,89,89,89,89,89,90,90
31,31,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,7,8,8,9,9,10,10,10,11,13,13,15,16,17,19,20,21,21,21,23,24,24,26,28,30,31,31,33,34,38,41,42,43,45,47,48,51,51,52,52,54,57,57,59,59,60,60,60,62,65,66,66,69,72,74,74,75,76,76,76,77,77,77,79,79,79,80,80,80,81,81,81,81,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,6,6,6,7,8,9,9,9,11,12,12,13,13,14,15,18,19,19,19,20,21,23,27,29,29,31,32,32,33,34,35,36,37,38,39,42,43,43,43,44,45,47,49,52,52,53,55,56,57,59,59,61,63,64,65,65,67,67,68,69,70,71,72,73,74,76,76,76,76,76,78,78,78,80,81,81,82,82,82,82,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,7,7,7,7,7,7,8,8,8,8,9,10,10,10,10,10,10,11,11,11,14,16,17,17,17,20,21,22,24,25,26,26,28,28,29,30,30,30,30,33,37,38,38,38,40,42,42,44,45,46,46,46,46,48,48,51,52,53,53,55,55,58,59,59,61,62,62,62,63,65,66,67,69,70,70,72,73,75,75,75,76,76,76,76,77,77,77,77,78,78,78,79,79,79,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,84
36,36,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,12,12,14,14,15,15,15,15,16,16,19,19,20,20,21,21,23,23,25,26,26,27,29,30,31,31,34,36,38,38,40,41,42,43,44,47,49,52,55,55,55,57,59,62,62,62,63,63,64,65,66,67,68,69,70,71,71,71,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
37,37,3,3,3,3,3,4,5,5,5,5,5,6,6,9,10,11,13,15,16,16,17,20,21,25,27,28,29,29,31,31,31,35,36,37,40,44,45,47,50,51,53,54,55,56,58,60,61,63,66,67,67,67,70,72,73,75,77,78,79,80,80,80,80,81,82,83,84,85,85,85,86,87,87,87,87,87,87,87,87,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,6,6,6,7,7,7,7,8,8,10,10,11,11,11,11,12,13,13,13,15,17,18,19,22,24,28,28,29,29,31,32,33,34,35,36,36,38,38,39,40,41,44,45,47,48,49,51,51,51,53,53,54,55,55,56,59,62,63,64,64,67,68,68,68,69,69,69,69,70,70,70,70,72,73,75,76,76,76,77,77,77,78,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
