cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
43,72,0,infeccioso,susceptible,trabajo,False
8,72,0,susceptible,susceptible,trabajo,False
42,72,0,recuperado,susceptible,trabajo,False
3,72,0,expuesto,susceptible,trabajo,False
4,72,0,infeccioso,susceptible,trabajo,True
40,73,0,infeccioso,susceptible,trabajo,False
5,73,0,infeccioso,susceptible,trabajo,True
7,73,0,susceptible,susceptible,trabajo,False
46,73,0,recuperado,susceptible,trabajo,False
2,73,0,expuesto,susceptible,trabajo,False
37,74,0,infeccioso,susceptible,trabajo,False
5,74,0,infeccioso,susceptible,trabajo,True
2,74,0,expuesto,susceptible,trabajo,False
50,74,0,recuperado,susceptible,trabajo,False
6,74,0,susceptible,susceptible,trabajo,False
32,75,0,infeccioso,susceptible,trabajo,False
5,75,0,infeccioso,susceptible,trabajo,True
2,75,0,expuesto,susceptible,trabajo,False
55,75,0,recuperado,susceptible,trabajo,False
6,75,0,susceptible,susceptible,trabajo,False
35,76,0,infeccioso,susceptible,trabajo,False
4,76,0,infeccioso,susceptible,trabajo,True
1,76,0,expuesto,susceptible,trabajo,False
55,76,0,recuperado,susceptible,trabajo,False
5,76,0,susceptible,susceptible,trabajo,False
34,77,0,infeccioso,susceptible,trabajo,False
3,77,0,infeccioso,susceptible,trabajo,True
1,77,0,expuesto,susceptible,trabajo,False
57,77,0,recuperado,susceptible,trabajo,False
5,77,0,susceptible,susceptible,trabajo,False
33,78,0,infeccioso,susceptible,trabajo,False
2,78,0,infeccioso,susceptible,trabajo,True
1,78,0,expuesto,susceptible,trabajo,False
59,78,0,recuperado,susceptible,trabajo,False
5,78,0,susceptible,susceptible,trabajo,False
66,79,0,recuperado,susceptible,trabajo,False
2,79,0,infeccioso,susceptible,trabajo,True
1,79,0,expuesto,susceptible,trabajo,False
26,79,0,infeccioso,susceptible,trabajo,False
5,79,0,susceptible,susceptible,trabajo,False
66,80,0,recuperado,susceptible,trabajo,False
2,80,0,infeccioso,susceptible,trabajo,True
1,80,0,expuesto,susceptible,trabajo,False
26,80,0,infeccioso,susceptible,trabajo,False
5,80,0,susceptible,susceptible,trabajo,False
68,81,0,recuperado,susceptible,trabajo,False
25,81,0,infeccioso,susceptible,trabajo,False
1,81,0,expuesto,susceptible,trabajo,False
5,81,0,susceptible,susceptible,trabajo,False
1,81,0,infeccioso,susceptible,trabajo,True
70,82,0,recuperado,susceptible,trabajo,False
23,82,0,infeccioso,susceptible,trabajo,False
1,82,0,expuesto,susceptible,trabajo,False
5,82,0,susceptible,susceptible,trabajo,False
1,82,0,infeccioso,susceptible,trabajo,True
73,83,0,recuperado,susceptible,trabajo,False
20,83,0,infeccioso,susceptible,trabajo,False
1,83,0,expuesto,susceptible,trabajo,False
5,83,0,susceptible,susceptible,trabajo,False
1,83,0,infeccioso,susceptible,trabajo,True
75,84,0,recuperado,susceptible,trabajo,False
19,84,0,infeccioso,susceptible,trabajo,False
1,84,0,expuesto,susceptible,trabajo,False
5,84,0,susceptible,susceptible,trabajo,False
78,85,0,recuperado,susceptible,trabajo,False
16,85,0,infeccioso,susceptible,trabajo,False
1,85,0,expuesto,susceptible,trabajo,False
5,85,0,susceptible,susceptible,trabajo,False
79,86,0,recuperado,susceptible,trabajo,False
15,86,0,infeccioso,susceptible,trabajo,False
1,86,0,expuesto,susceptible,trabajo,False
5,86,0,susceptible,susceptible,trabajo,False
79,87,0,recuperado,susceptible,trabajo,False
15,87,0,infeccioso,susceptible,trabajo,False
1,87,0,expuesto,susceptible,trabajo,False
5,87,0,susceptible,susceptible,trabajo,False
82,88,0,recuperado,susceptible,trabajo,False
12,88,0,infeccioso,susceptible,trabajo,False
1,88,0,expuesto,susceptible,trabajo,False
5,88,0,susceptible,susceptible,trabajo,False
83,89,0,recuperado,susceptible,trabajo,False
11,89,0,infeccioso,susceptible,trabajo,False
1,89,0,expuesto,susceptible,trabajo,False
5,89,0,susceptible,susceptible,trabajo,False
85,90,0,recuperado,susceptible,trabajo,False
9,90,0,infeccioso,susceptible,trabajo,False
1,90,0,expuesto,susceptible,trabajo,False
5,90,0,susceptible,susceptible,trabajo,False
86,91,0,recuperado,susceptible,trabajo,False
9,91,0,infeccioso,susceptible,trabajo,False
5,91,0,susceptible,susceptible,trabajo,False
87,92,0,recuperado,susceptible,trabajo,False
8,92,0,infeccioso,susceptible,trabajo,False
5,92,0,susceptible,susceptible,trabajo,False
87,93,0,recuperado,susceptible,trabajo,False
8,93,0,infeccioso,susceptible,trabajo,False
5,93,0,susceptible,susceptible,trabajo,False
88,94,0,recuperado,susceptible,trabajo,False
7,94,0,infeccioso,susceptible,trabajo,False
5,94,0,susceptible,susceptible,trabajo,False
89,95,0,recuperado,susceptible,trabajo,False
6,95,0,infeccioso,susceptible,trabajo,False
5,95,0,susceptible,susceptible,trabajo,False
90,96,0,recuperado,susceptible,trabajo,False
5,96,0,infeccioso,susceptible,trabajo,False
5,96,0,susceptible,susceptible,trabajo,False
91,97,0,recuperado,susceptible,trabajo,False
4,97,0,infeccioso,susceptible,trabajo,False
5,97,0,susceptible,susceptible,trabajo,False
91,98,0,recuperado,susceptible,trabajo,False
4,98,0,infeccioso,susceptible,trabajo,False
5,98,0,susceptible,susceptible,trabajo,False
91,99,0,recuperado,susceptible,trabajo,False
4,99,0,infeccioso,susceptible,trabajo,False
5,99,0,susceptible,susceptible,trabajo,False
91,100,0,recuperado,susceptible,trabajo,False
4,100,0,infeccioso,susceptible,trabajo,False
5,100,0,susceptible,susceptible,trabajo,False
91,101,0,recuperado,susceptible,trabajo,False
4,101,0,infeccioso,susceptible,trabajo,False
5,101,0,susceptible,susceptible,trabajo,False
91,102,0,recuperado,susceptible,trabajo,False
4,102,0,infeccioso,susceptible,trabajo,False
5,102,0,susceptible,susceptible,trabajo,False
91,103,0,recuperado,susceptible,trabajo,False
4,103,0,infeccioso,susceptible,trabajo,False
5,103,0,susceptible,susceptible,trabajo,False
91,104,0,recuperado,susceptible,trabajo,False
4,104,0,infeccioso,susceptible,trabajo,False
5,104,0,susceptible,susceptible,trabajo,False
91,105,0,recuperado,susceptible,trabajo,False
4,105,0,infeccioso,susceptible,trabajo,False
5,105,0,susceptible,susceptible,trabajo,False
91,106,0,recuperado,susceptible,trabajo,False
4,106,0,infeccioso,susceptible,trabajo,False
5,106,0,susceptible,susceptible,trabajo,False
91,107,0,recuperado,susceptible,trabajo,False
4,107,0,infeccioso,susceptible,trabajo,False
5,107,0,susceptible,susceptible,trabajo,False
92,108,0,recuperado,susceptible,trabajo,False
3,108,0,infeccioso,susceptible,trabajo,False
5,108,0,susceptible,susceptible,trabajo,False
92,109,0,recuperado,susceptible,trabajo,False
3,109,0,infeccioso,susceptible,trabajo,False
5,109,0,susceptible,susceptible,trabajo,False
92,110,0,recuperado,susceptible,trabajo,False
1,110,0,infeccioso,susceptible,trabajo,True
2,110,0,infeccioso,susceptible,trabajo,False
4,110,0,susceptible,susceptible,trabajo,False
1,110,0,expuesto,susceptible,trabajo,False
93,111,0,recuperado,susceptible,trabajo,False
1,111,0,infeccioso,susceptible,trabajo,True
4,111,0,susceptible,susceptible,trabajo,False
1,111,0,expuesto,susceptible,trabajo,False
1,111,0,infeccioso,susceptible,trabajo,False
93,112,0,recuperado,susceptible,trabajo,False
1,112,0,infeccioso,susceptible,trabajo,True
4,112,0,susceptible,susceptible,trabajo,False
2,112,0,infeccioso,susceptible,trabajo,False
93,113,0,recuperado,susceptible,trabajo,False
1,113,0,infeccioso,susceptible,trabajo,True
4,113,0,susceptible,susceptible,trabajo,False
2,113,0,infeccioso,susceptible,trabajo,False
94,114,0,recuperado,susceptible,trabajo,False
1,114,0,infeccioso,susceptible,trabajo,True
4,114,0,susceptible,susceptible,trabajo,False
1,114,0,infeccioso,susceptible,trabajo,False
94,115,0,recuperado,susceptible,trabajo,False
1,115,0,infeccioso,susceptible,trabajo,True
4,115,0,susceptible,susceptible,trabajo,False
1,115,0,infeccioso,susceptible,trabajo,False
94,116,0,recuperado,susceptible,trabajo,False
2,116,0,infeccioso,susceptible,trabajo,True
4,116,0,susceptible,susceptible,trabajo,False
94,117,0,recuperado,susceptible,trabajo,False
1,117,0,infeccioso,susceptible,trabajo,False
4,117,0,susceptible,susceptible,trabajo,False
1,117,0,infeccioso,susceptible,trabajo,True
94,118,0,recuperado,susceptible,trabajo,False
1,118,0,infeccioso,susceptible,trabajo,False
4,118,0,susceptible,susceptible,trabajo,False
1,118,0,infeccioso,susceptible,trabajo,True
94,119,0,recuperado,susceptible,trabajo,False
1,119,0,infeccioso,susceptible,trabajo,False
4,119,0,susceptible,susceptible,trabajo,False
1,119,0,infeccioso,susceptible,trabajo,True
94,120,0,recuperado,susceptible,trabajo,False
1,120,0,infeccioso,susceptible,trabajo,False
4,120,0,susceptible,susceptible,trabajo,False
1,120,0,infeccioso,susceptible,trabajo,True
94,121,0,recuperado,susceptible,trabajo,False
1,121,0,infeccioso,susceptible,trabajo,False
4,121,0,susceptible,susceptible,trabajo,False
1,121,0,infeccioso,susceptible,trabajo,True
94,122,0,recuperado,susceptible,trabajo,False
1,122,0,infeccioso,susceptible,trabajo,False
4,122,0,susceptible,susceptible,trabajo,False
1,122,0,infeccioso,susceptible,trabajo,True
94,123,0,recuperado,susceptible,trabajo,False
1,123,0,infeccioso,susceptible,trabajo,False
4,123,0,susceptible,susceptible,trabajo,False
1,123,0,infeccioso,susceptible,trabajo,True
94,124,0,recuperado,susceptible,trabajo,False
2,124,0,infeccioso,susceptible,trabajo,False
4,124,0,susceptible,susceptible,trabajo,False
94,125,0,recuperado,susceptible,trabajo,False
2,125,0,infeccioso,susceptible,trabajo,False
4,125,0,susceptible,susceptible,trabajo,False
94,126,0,recuperado,susceptible,trabajo,False
2,126,0,infeccioso,susceptible,trabajo,False
4,126,0,susceptible,susceptible,trabajo,False
94,127,0,recuperado,susceptible,trabajo,False
2,127,0,infeccioso,susceptible,trabajo,False
4,127,0,susceptible,susceptible,trabajo,False
95,128,0,recuperado,susceptible,trabajo,False
4,128,0,susceptible,susceptible,trabajo,False
1,128,0,infeccioso,susceptible,trabajo,False
95,129,0,recuperado,susceptible,trabajo,False
4,129,0,susceptible,susceptible,trabajo,False
